2026-07-06 03:37:52,843 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:37:52] "GET /login HTTP/1.1" 200 -
2026-07-06 03:37:53,971 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:37:53] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-07-06 03:38:04,089 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:38:04] "[32mPOST /login HTTP/1.1[0m" 302 -
2026-07-06 03:38:04,201 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:38:04] "GET / HTTP/1.1" 200 -
2026-07-06 03:38:26,938 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:38:26] "GET / HTTP/1.1" 200 -
2026-07-06 03:40:37,143 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:37,236 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:37,206 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:37,269 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:38,222 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:40:38,804 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:40:39,338 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:40:39,396 | WARNING  | werkzeug |  * Debugger is active!
2026-07-06 03:40:39,405 | INFO     | werkzeug |  * Debugger PIN: 106-337-974
2026-07-06 03:40:39,474 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:40:39] "GET / HTTP/1.1" 200 -
2026-07-06 03:40:39,542 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:40:39,607 | WARNING  | werkzeug |  * Debugger is active!
2026-07-06 03:40:39,626 | INFO     | werkzeug |  * Debugger PIN: 106-337-974
2026-07-06 03:40:43,387 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:43,387 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:43,391 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:43,391 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\database\\seed.py', reloading
2026-07-06 03:40:43,624 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:40:43,848 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:40:44,464 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:40:44,546 | WARNING  | werkzeug |  * Debugger is active!
2026-07-06 03:40:44,556 | INFO     | werkzeug |  * Debugger PIN: 106-337-974
2026-07-06 03:40:44,680 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:40:44,745 | WARNING  | werkzeug |  * Debugger is active!
2026-07-06 03:40:44,753 | INFO     | werkzeug |  * Debugger PIN: 106-337-974
2026-07-06 03:40:50,558 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:40:50] "GET / HTTP/1.1" 200 -
2026-07-06 03:40:53,046 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:40:53] "GET / HTTP/1.1" 200 -
2026-07-06 03:41:09,010 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:41:09] "GET / HTTP/1.1" 200 -
2026-07-06 03:41:09,195 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:41:09] "GET / HTTP/1.1" 200 -
2026-07-06 03:41:09,316 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:41:09] "GET / HTTP/1.1" 200 -
2026-07-06 03:41:13,664 | INFO     | werkzeug | 10.99.111.131 - - [06/Jul/2026 03:41:13] "GET / HTTP/1.1" 200 -
2026-07-06 03:52:28,720 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\socks.py', reloading
2026-07-06 03:52:28,720 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\socks.py', reloading
2026-07-06 03:52:28,731 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\sockshandler.py', reloading
2026-07-06 03:52:28,733 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\sockshandler.py', reloading
2026-07-06 03:52:28,733 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\typing_extensions.py', reloading
2026-07-06 03:52:28,734 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\typing_extensions.py', reloading
2026-07-06 03:52:28,738 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\converters.py', reloading
2026-07-06 03:52:28,739 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\converters.py', reloading
2026-07-06 03:52:28,753 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\exceptions.py', reloading
2026-07-06 03:52:28,767 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\filters.py', reloading
2026-07-06 03:52:28,768 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\filters.py', reloading
2026-07-06 03:52:28,788 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\setters.py', reloading
2026-07-06 03:52:28,789 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\setters.py', reloading
2026-07-06 03:52:28,807 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\validators.py', reloading
2026-07-06 03:52:28,809 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\validators.py', reloading
2026-07-06 03:52:28,842 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_cmp.py', reloading
2026-07-06 03:52:28,842 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_cmp.py', reloading
2026-07-06 03:52:28,868 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_compat.py', reloading
2026-07-06 03:52:28,870 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_compat.py', reloading
2026-07-06 03:52:28,878 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_config.py', reloading
2026-07-06 03:52:28,878 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_config.py', reloading
2026-07-06 03:52:28,892 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_funcs.py', reloading
2026-07-06 03:52:28,892 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_funcs.py', reloading
2026-07-06 03:52:28,904 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_make.py', reloading
2026-07-06 03:52:28,904 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_make.py', reloading
2026-07-06 03:52:28,923 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_next_gen.py', reloading
2026-07-06 03:52:28,923 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_next_gen.py', reloading
2026-07-06 03:52:28,964 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_version_info.py', reloading
2026-07-06 03:52:28,964 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\_version_info.py', reloading
2026-07-06 03:52:29,039 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\__init__.py', reloading
2026-07-06 03:52:29,039 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\attr\\__init__.py', reloading
2026-07-06 03:52:29,825 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:52:29,830 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:52:30,473 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:52:30,485 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:52:30,503 | WARNING  | werkzeug |  * Debugger is active!
2026-07-06 03:52:30,509 | INFO     | werkzeug |  * Debugger PIN: 106-337-974
2026-07-06 03:52:30,509 | WARNING  | werkzeug |  * Debugger is active!
2026-07-06 03:52:30,516 | INFO     | werkzeug |  * Debugger PIN: 106-337-974
2026-07-06 03:52:30,629 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\api.py', reloading
2026-07-06 03:52:30,629 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\api.py', reloading
2026-07-06 03:52:30,636 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\backend_ctypes.py', reloading
2026-07-06 03:52:30,636 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\backend_ctypes.py', reloading
2026-07-06 03:52:30,642 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\cffi_opcode.py', reloading
2026-07-06 03:52:30,642 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\cffi_opcode.py', reloading
2026-07-06 03:52:30,650 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\commontypes.py', reloading
2026-07-06 03:52:30,650 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\commontypes.py', reloading
2026-07-06 03:52:30,659 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\cparser.py', reloading
2026-07-06 03:52:30,659 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\cparser.py', reloading
2026-07-06 03:52:30,681 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\error.py', reloading
2026-07-06 03:52:30,681 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\error.py', reloading
2026-07-06 03:52:30,693 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\ffiplatform.py', reloading
2026-07-06 03:52:30,693 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\ffiplatform.py', reloading
2026-07-06 03:52:30,707 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\lock.py', reloading
2026-07-06 03:52:30,708 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\lock.py', reloading
2026-07-06 03:52:30,720 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\model.py', reloading
2026-07-06 03:52:30,720 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\model.py', reloading
2026-07-06 03:52:30,736 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\pkgconfig.py', reloading
2026-07-06 03:52:30,736 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\pkgconfig.py', reloading
2026-07-06 03:52:30,743 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\recompiler.py', reloading
2026-07-06 03:52:30,752 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\setuptools_ext.py', reloading
2026-07-06 03:52:30,752 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\setuptools_ext.py', reloading
2026-07-06 03:52:30,765 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\vengine_cpy.py', reloading
2026-07-06 03:52:30,765 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\vengine_cpy.py', reloading
2026-07-06 03:52:30,776 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\vengine_gen.py', reloading
2026-07-06 03:52:30,786 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\verifier.py', reloading
2026-07-06 03:52:30,786 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\verifier.py', reloading
2026-07-06 03:52:30,819 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\_imp_emulation.py', reloading
2026-07-06 03:52:30,819 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\_imp_emulation.py', reloading
2026-07-06 03:52:30,829 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\_shimmed_dist_utils.py', reloading
2026-07-06 03:52:30,829 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\_shimmed_dist_utils.py', reloading
2026-07-06 03:52:30,839 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\__init__.py', reloading
2026-07-06 03:52:30,839 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\cffi\\__init__.py', reloading
2026-07-06 03:52:31,306 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\api.py', reloading
2026-07-06 03:52:31,306 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\api.py', reloading
2026-07-06 03:52:31,355 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\cd.py', reloading
2026-07-06 03:52:31,355 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\cd.py', reloading
2026-07-06 03:52:31,371 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\constant.py', reloading
2026-07-06 03:52:31,371 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\constant.py', reloading
2026-07-06 03:52:31,391 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\legacy.py', reloading
